Meter Number,Customer Account Number,Port,Channel,Conversion Factor,Data Type,Start Date,Start Time,InvertalValue,InevertalHour,QCCode
3818933,1014401,0,0,.018,UNITS,101017,00:00,0003.5100,12,0003.5100
3818933,1014401,0,0,.018,UNITS,101017,00:00,0003.6900,7,0003.6900
3818933,1014401,0,0,.018,UNITS,101017,00:00,0003.1500,8,0003.1500
16895686,1033102,0,0,.0576,KWH,101017,00:00,0003.5136,8,0003.5136
3167790,1043800,0,0,.0576,KWH,101017,00:00,0003.0528,12,0003.0528
230153596,1047600,0,1,.128,Signed Net in Watts,101017,00:00,0003.1690,12,0003.1690
3920374,1059704,0,0,.0576,KWH,101017,00:00,0003.3984,11,0003.3984
15254572,1060902,0,0,.0576,KWH,101017,00:00,0003.9744,7,0003.9744
15254572,1060902,0,0,.0576,KWH,101017,00:00,0003.2256,9,0003.2256
3510774,106901,0,0,.0576,KWH,101017,00:00,0003.9744,6,0003.9744
3964204,1142305,0,0,.0576,KWH,101017,00:00,0003.3408,13,0003.3408
15262329,1159169,0,1,.004096,Secure Consumption in Watts,101017,00:00,0003.2235,13,0003.2235
15262329,1159169,0,1,.004096,Secure Consumption in Watts,101017,00:00,0003.2808,14,0003.2808
16508860,121500,0,1,.128,Signed Net in Watts,101017,00:00,0003.1690,8,0003.1690
18277996,1228101,0,1,.128,Signed Net in Watts,101017,00:00,0003.4560,7,0003.4560
3812380,123170,0,0,.0576,KWH,101017,00:00,0003.2256,13,0003.2256
15118674,124901,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,1,0003.0720
15118674,124901,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,10,0003.0720
15118674,124901,0,1,.128,Signed Net in Watts,101017,00:00,0003.7120,11,0003.7120
15118674,124901,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,14,0003.0720
11415973,1268902,0,0,.096,KWH,101017,00:00,0003.7440,13,0003.7440
11415973,1268902,0,0,.096,KWH,101017,00:00,0003.4560,8,0003.4560
3165213,1351601,0,0,.0576,KWH,101017,00:00,0003.1680,14,0003.1680
16807764,1358600,0,0,.096,KWH,101017,00:00,0003.6480,1,0003.6480
16807764,1358600,0,0,.096,KWH,101017,00:00,0003.1680,12,0003.1680
16807764,1358600,0,0,.096,KWH,101017,00:00,0003.6480,3,0003.6480
16807764,1358600,0,0,.096,KWH,101017,00:00,0003.4560,4,0003.4560
16807764,1358600,0,0,.096,KWH,101017,00:00,0003.6480,5,0003.6480
16807764,1358600,0,0,.096,KWH,101017,00:00,0003.3600,7,0003.3600
16807764,1358600,0,0,.096,KWH,101017,00:00,0003.1680,8,0003.1680
16807764,1358600,0,0,.096,KWH,101017,00:00,0003.1680,9,0003.1680
16896832,1408101,0,0,.0576,KWH,101017,00:00,0003.8016,14,0003.8016
33588094,1413900,0,1,.128,Signed Net in Watts,101017,00:00,0003.1690,12,0003.1690
3919701,1425401,0,0,.0576,KWH,101017,00:00,0003.4560,10,0003.4560
3919701,1425401,0,0,.0576,KWH,101017,00:00,0003.6864,9,0003.6864
7948033,143000,0,0,.018,UNITS,101017,00:00,0003.4169,13,0003.4169
7948033,143000,0,0,.018,UNITS,101017,00:00,0003.8700,8,0003.8700
3816524,14301,0,0,.0576,KWH,101017,00:00,0003.8592,1,0003.8592
16895679,1507902,0,0,.0576,KWH,101017,00:00,0003.5712,8,0003.5712
3814539,1511800,0,0,.0576,KWH,101017,00:00,0003.8592,7,0003.8592
3814539,1511800,0,0,.0576,KWH,101017,00:00,0003.8592,9,0003.8592
34865657,1523702,0,1,.128,Signed Net in Watts,101017,00:00,0003.7120,1,0003.7120
15103942,153170,0,1,.128,Signed Net in Watts,101017,00:00,0003.8400,11,0003.8400
11039408,1587600,0,0,.0576,KWH,101017,00:00,0003.3984,2,0003.3984
3922794,159101,0,0,.0576,KWH,101017,00:00,0003.1680,9,0003.1680
12461673,1613702,0,0,.006,UNITS,101017,00:00,0003.7800,14,0003.7800
11105044,1631003,0,0,.018,UNITS,101017,00:00,0003.0960,14,0003.0960
12461675,1631169,0,0,.006,UNITS,101017,00:00,0003.4680,7,0003.4680
12461675,1631169,0,0,.006,UNITS,101017,00:00,0003.4560,8,0003.4560
14973763,16705,0,1,.128,Fwd Consumption in Watts,101017,00:00,0003.0720,10,0003.0720
14973763,16705,0,1,.128,Fwd Consumption in Watts,101017,00:00,0003.0720,9,0003.0720
11415910,1672502,0,0,.096,KWH,101017,00:00,0003.3600,13,0003.3600
11415910,1672502,0,0,.096,KWH,101017,00:00,0003.1680,3,0003.1680
11415910,1672502,0,0,.096,KWH,101017,00:00,0003.6480,8,0003.6480
3166885,1676500,0,0,.0576,KWH,101017,00:00,0003.6288,12,0003.6288
33588533,1676703,0,1,.128,Signed Net in Watts,101017,00:00,0003.1690,12,0003.1690
33588533,1676703,0,1,.128,Signed Net in Watts,101017,00:00,0003.1690,8,0003.1690
20545878,1690900,0,1,.128,Signed Net in Watts,101017,00:00,0003.1690,12,0003.1690
20545878,1690900,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,13,0003.0720
20545878,1690900,0,1,.128,Signed Net in Watts,101017,00:00,0003.7120,8,0003.7120
20545878,1690900,0,1,.128,Signed Net in Watts,101017,00:00,0003.7120,9,0003.7120
16542506,1692181694,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,13,0003.0720
3921977,1692214700,0,0,.0576,KWH,101017,00:00,0003.9744,13,0003.9744
3164776,1692438300,0,0,.0576,KWH,101017,00:00,0003.2256,13,0003.2256
17047364,1692526700,0,0,.0576,KWH,101017,00:00,0003.3408,13,0003.3408
3164873,1692651800,0,0,.0576,KWH,101017,00:00,0003.0528,10,0003.0528
3164873,1692651800,0,0,.0576,KWH,101017,00:00,0003.1104,12,0003.1104
3164873,1692651800,0,0,.0576,KWH,101017,00:00,0003.1680,13,0003.1680
3164873,1692651800,0,0,.0576,KWH,101017,00:00,0003.1680,14,0003.1680
3164873,1692651800,0,0,.0576,KWH,101017,00:00,0003.0528,7,0003.0528
11044007,1692676404,0,0,.0576,KWH,101017,00:00,0003.7440,14,0003.7440
15254877,1693185203,0,0,.0576,KWH,101017,00:00,0003.3984,7,0003.3984
3814276,1693236614,0,0,.0576,KWH,101017,00:00,0003.9168,1,0003.9168
15254656,1693245919,0,0,.0576,KWH,101017,00:00,0003.2256,8,0003.2256
16542236,1693256015,0,1,.128,Signed Net in Watts,101017,00:00,0003.8400,12,0003.8400
3813868,1693257215,0,0,.0576,KWH,101017,00:00,0003.3408,7,0003.3408
3816610,1693259415,0,0,.0576,KWH,101017,00:00,0003.4560,7,0003.4560
18606230,1693264016,0,1,.128,Signed Net in Watts,101017,00:00,0003.4560,7,0003.4560
3922842,1693267214,0,0,.0576,KWH,101017,00:00,0003.4560,8,0003.4560
11415876,1693275414,0,0,.096,KWH,101017,00:00,0003.5520,11,0003.5520
11415876,1693275414,0,0,.096,KWH,101017,00:00,0003.2640,13,0003.2640
3167292,1694013101,0,0,.0576,KWH,101017,00:00,0003.5136,3,0003.5136
3165602,1694015802,0,0,.0576,KWH,101017,00:00,0003.1104,7,0003.1104
3165711,1694018901,0,0,.0576,KWH,101017,00:00,0003.0528,11,0003.0528
3260577,1694023900,0,0,.0576,KWH,101017,00:00,0003.2256,8,0003.2256
3812839,1694025169,0,0,.0576,KWH,101017,00:00,0003.3984,8,0003.3984
3165208,1694027000,0,0,.0576,KWH,101017,00:00,0003.8016,13,0003.8016
11044576,1694034500,0,0,.0576,KWH,101017,00:00,0003.3984,10,0003.3984
15254037,1694035601,0,0,.0576,KWH,101017,00:00,0003.0528,9,0003.0528
17047347,1694041002,0,0,.0576,KWH,101017,00:00,0003.5136,8,0003.5136
3165615,1694050501,0,0,.0576,KWH,101017,00:00,0003.6864,1,0003.6864
3165615,1694050501,0,0,.0576,KWH,101017,00:00,0003.5712,2,0003.5712
3165615,1694050501,0,0,.0576,KWH,101017,00:00,0003.6864,3,0003.6864
15024011,1694050802,0,1,.128,Signed Net in Watts,101017,00:00,0003.1690,1,0003.1690
15024011,1694050802,0,1,.128,Signed Net in Watts,101017,00:00,0003.4560,7,0003.4560
3167827,1694051170,0,0,.0576,KWH,101017,00:00,0003.0528,9,0003.0528
3167517,1694055001,0,0,.0576,KWH,101017,00:00,0003.2832,8,0003.2832
13129522,1694058500,0,0,.0576,KWH,101017,00:00,0003.0528,8,0003.0528
20546281,1695005301,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,7,0003.0720
20546281,1695005301,0,1,.128,Signed Net in Watts,101017,00:00,0003.3280,8,0003.3280
3811918,1695005301,0,0,.0576,KWH,101017,00:00,0003.6864,9,0003.6864
3812545,1695009002,0,0,.0576,KWH,101017,00:00,0003.8016,14,0003.8016
3812545,1695009002,0,0,.0576,KWH,101017,00:00,0003.3408,6,0003.3408
20544666,1695011401,0,1,.128,Signed Net in Watts,101017,00:00,0003.1690,7,0003.1690
13129648,1695014400,0,0,.0576,KWH,101017,00:00,0003.9168,11,0003.9168
33587836,1695045170,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,8,0003.0720
3920808,1695047301,0,0,.0576,KWH,101017,00:00,0003.9168,10,0003.9168
3920808,1695047301,0,0,.0576,KWH,101017,00:00,0003.8016,9,0003.8016
16543681,1695049600,0,1,.128,Signed Net in Watts,101017,00:00,0003.1690,9,0003.1690
11044047,1696011800,0,0,.0576,KWH,101017,00:00,0003.2832,12,0003.2832
18277878,1696020403,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,13,0003.0720
11044397,1696023601,0,0,.0576,KWH,101017,00:00,0003.1104,10,0003.1104
10496159,1696025100,0,0,.0576,KWH,101017,00:00,0003.6864,7,0003.6864
14973747,1696028300,0,1,.128,Fwd Consumption in Watts,101017,00:00,0003.7120,8,0003.7120
14973821,1696028300,0,1,.128,Fwd Consumption in Watts,101017,00:00,0003.4560,10,0003.4560
14973821,1696028300,0,1,.128,Fwd Consumption in Watts,101017,00:00,0003.5840,9,0003.5840
11039409,1696028800,0,0,.0576,KWH,101017,00:00,0003.9168,8,0003.9168
11044438,1696031500,0,0,.0576,KWH,101017,00:00,0003.1104,14,0003.1104
230226288,1697004600,0,1,.128,Signed Net in Watts,101017,00:00,0003.7120,10,0003.7120
13128791,1697009000,0,0,.0576,KWH,101017,00:00,0003.3408,9,0003.3408
16791661,1697009701,0,1,.128,Signed Net in Watts,101017,00:00,0003.5840,1,0003.5840
16791661,1697009701,0,1,.128,Signed Net in Watts,101017,00:00,0003.1690,10,0003.1690
16791661,1697009701,0,1,.128,Signed Net in Watts,101017,00:00,0003.5840,11,0003.5840
16791661,1697009701,0,1,.128,Signed Net in Watts,101017,00:00,0003.3280,2,0003.3280
16791661,1697009701,0,1,.128,Signed Net in Watts,101017,00:00,0003.4560,6,0003.4560
16791661,1697009701,0,1,.128,Signed Net in Watts,101017,00:00,0003.4560,9,0003.4560
16508719,1697022401,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,8,0003.0720
13128657,1697028000,0,0,.0576,KWH,101017,00:00,0003.7440,12,0003.7440
13128931,1697032703,0,0,.0576,KWH,101017,00:00,0003.9168,6,0003.9168
3814442,1697034500,0,0,.0576,KWH,101017,00:00,0003.5712,10,0003.5712
3814442,1697034500,0,0,.0576,KWH,101017,00:00,0003.5712,11,0003.5712
3814442,1697034500,0,0,.0576,KWH,101017,00:00,0003.6288,12,0003.6288
15254121,1697039801,0,0,.0576,KWH,101017,00:00,0003.6864,8,0003.6864
16543748,1697040601,0,1,.128,Signed Net in Watts,101017,00:00,0003.5840,8,0003.5840
3818068,1697042302,0,0,.0576,KWH,101017,00:00,0003.0528,14,0003.0528
15254090,1698003604,0,0,.0576,KWH,101017,00:00,0003.5136,13,0003.5136
15254534,1698005100,0,0,.0576,KWH,101017,00:00,0003.1104,7,0003.1104
34866030,1698007100,0,1,.128,Signed Net in Watts,101017,00:00,0003.1690,8,0003.1690
15253972,1698019900,0,0,.0576,KWH,101017,00:00,0003.2256,12,0003.2256
11044148,1698024501,0,0,.0576,KWH,101017,00:00,0003.9168,1,0003.9168
11044148,1698024501,0,0,.0576,KWH,101017,00:00,0003.3984,11,0003.3984
11044148,1698024501,0,0,.0576,KWH,101017,00:00,0003.1680,4,0003.1680
15254378,1698025500,0,0,.0576,KWH,101017,00:00,0003.2256,9,0003.2256
15254041,1698028103,0,0,.0576,KWH,101017,00:00,0003.2832,8,0003.2832
13089097,1698040501,0,1,.064,Fwd Consumption in Watts,101017,00:00,0003.1690,10,0003.1690
20546306,1699001900,0,1,.128,Signed Net in Watts,101017,00:00,0003.3280,11,0003.3280
20546306,1699001900,0,1,.128,Signed Net in Watts,101017,00:00,0003.3280,12,0003.3280
20546306,1699001900,0,1,.128,Signed Net in Watts,101017,00:00,0003.8400,9,0003.8400
16807755,1699004500,0,0,.096,KWH,101017,00:00,0003.0720,9,0003.0720
15254491,1699008300,0,0,.0576,KWH,101017,00:00,0003.3984,9,0003.3984
18279025,1699009102,0,1,.128,Signed Net in Watts,101017,00:00,0003.5840,10,0003.5840
18279025,1699009102,0,1,.128,Signed Net in Watts,101017,00:00,0003.5840,11,0003.5840
18279025,1699009102,0,1,.128,Signed Net in Watts,101017,00:00,0003.3280,12,0003.3280
18279025,1699009102,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,13,0003.0720
18279025,1699009102,0,1,.128,Signed Net in Watts,101017,00:00,0003.5840,6,0003.5840
15106374,1699018600,0,1,.128,Signed Net in Watts,101017,00:00,0003.5840,3,0003.5840
17047297,1699031600,0,0,.0576,KWH,101017,00:00,0003.1104,1,0003.1104
17047297,1699031600,0,0,.0576,KWH,101017,00:00,0003.1104,10,0003.1104
17047297,1699031600,0,0,.0576,KWH,101017,00:00,0003.0528,11,0003.0528
17047297,1699031600,0,0,.0576,KWH,101017,00:00,0003.1104,12,0003.1104
17047297,1699031600,0,0,.0576,KWH,101017,00:00,0003.1104,13,0003.1104
17047297,1699031600,0,0,.0576,KWH,101017,00:00,0003.0528,14,0003.0528
17047297,1699031600,0,0,.0576,KWH,101017,00:00,0003.0528,2,0003.0528
17047297,1699031600,0,0,.0576,KWH,101017,00:00,0003.1104,3,0003.1104
17047297,1699031600,0,0,.0576,KWH,101017,00:00,0003.1104,4,0003.1104
17047297,1699031600,0,0,.0576,KWH,101017,00:00,0003.1104,5,0003.1104
17047297,1699031600,0,0,.0576,KWH,101017,00:00,0003.0528,6,0003.0528
17047297,1699031600,0,0,.0576,KWH,101017,00:00,0003.1680,7,0003.1680
17047297,1699031600,0,0,.0576,KWH,101017,00:00,0003.1104,8,0003.1104
17047297,1699031600,0,0,.0576,KWH,101017,00:00,0003.1104,9,0003.1104
15104672,1700000900,0,1,.128,Signed Net in Watts,101017,00:00,0003.1690,1,0003.1690
15104672,1700000900,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,10,0003.0720
15104672,1700000900,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,11,0003.0720
15104672,1700000900,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,13,0003.0720
15104672,1700000900,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,3,0003.0720
15104672,1700000900,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,5,0003.0720
15104672,1700000900,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,6,0003.0720
15104672,1700000900,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,8,0003.0720
3163968,1700014100,0,0,.0576,KWH,101017,00:00,0003.1104,1,0003.1104
3163968,1700014100,0,0,.0576,KWH,101017,00:00,0003.8016,2,0003.8016
3163968,1700014100,0,0,.0576,KWH,101017,00:00,0003.1104,3,0003.1104
20544516,1700015169,0,1,.128,Signed Net in Watts,101017,00:00,0003.1690,8,0003.1690
35212760,1700015169,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,7,0003.0720
12151351,1701021100,0,0,.0015,UNITS,101017,00:00,0003.5025,1,0003.5025
12151351,1701021100,0,0,.0015,UNITS,101017,00:00,0003.3405,10,0003.3405
12151351,1701021100,0,0,.0015,UNITS,101017,00:00,0003.7230,11,0003.7230
12151351,1701021100,0,0,.0015,UNITS,101017,00:00,0003.7905,12,0003.7905
12151351,1701021100,0,0,.0015,UNITS,101017,00:00,0003.7110,13,0003.7110
12151351,1701021100,0,0,.0015,UNITS,101017,00:00,0003.5280,14,0003.5280
12151351,1701021100,0,0,.0015,UNITS,101017,00:00,0003.0255,9,0003.0255
11415921,1703006901,0,0,.096,KWH,101017,00:00,0003.6480,9,0003.6480
3921190,1703602,0,0,.0576,KWH,101017,00:00,0003.3984,10,0003.3984
3921190,1703602,0,0,.0576,KWH,101017,00:00,0003.4560,9,0003.4560
12119636,1704032500,0,1,.128,Fwd Consumption in Watts,101017,00:00,0000.0000,9,0003.8400
3818882,1708039500,0,0,.018,UNITS,101017,00:00,0003.7440,10,0003.7440
3818882,1708039500,0,0,.018,UNITS,101017,00:00,0003.6000,11,0003.6000
3818882,1708039500,0,0,.018,UNITS,101017,00:00,0003.6180,12,0003.6180
3818882,1708039500,0,0,.018,UNITS,101017,00:00,0003.9240,13,0003.9240
3818882,1708039500,0,0,.018,UNITS,101017,00:00,0003.3840,14,0003.3840
3818882,1708039500,0,0,.018,UNITS,101017,00:00,0003.8700,8,0003.8700
3818882,1708039500,0,0,.018,UNITS,101017,00:00,0003.3660,9,0003.3660
13128805,170900,0,0,.0576,KWH,101017,00:00,0003.9744,9,0003.9744
16541578,1711056100,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,12,0003.0720
16541578,1711056100,0,1,.128,Signed Net in Watts,101017,00:00,0003.4560,14,0003.4560
10515734,1711068300,0,1,.128,Fwd Consumption in Watts,101017,00:00,0003.5840,1,0003.5840
10515734,1711068300,0,1,.128,Fwd Consumption in Watts,101017,00:00,0003.0720,11,0003.0720
10515734,1711068300,0,1,.128,Fwd Consumption in Watts,101017,00:00,0003.0720,12,0003.0720
10515734,1711068300,0,1,.128,Fwd Consumption in Watts,101017,00:00,0003.3280,13,0003.3280
10515734,1711068300,0,1,.128,Fwd Consumption in Watts,101017,00:00,0003.1690,14,0003.1690
10515734,1711068300,0,1,.128,Fwd Consumption in Watts,101017,00:00,0003.4560,2,0003.4560
